trial_id,latency_ms,route_decision,retry_count,q_img
1,14.93,upload_cloud,0,0.8075
2,6.87,resample_edge,0,0.1854
3,8.29,upload_cloud,0,0.7974
4,8.02,resample_edge,0,0.1998
5,7.89,upload_cloud,0,0.8266
6,7.84,resample_edge,0,0.1885
7,7.71,upload_cloud,0,0.8101
8,7.13,resample_edge,0,0.1823
9,7.65,upload_cloud,0,0.8247
10,7.14,resample_edge,0,0.1908
11,8.37,upload_cloud,0,0.7985
12,8.32,resample_edge,0,0.2092
13,8.53,upload_cloud,0,0.8472
14,8.17,resample_edge,0,0.1992
15,8.29,upload_cloud,0,0.8146
16,6.95,resample_edge,0,0.1968
17,7.74,upload_cloud,0,0.8217
18,6.72,resample_edge,0,0.1949
19,7.49,upload_cloud,0,0.8146
20,7.36,resample_edge,0,0.1906
21,7.53,upload_cloud,0,0.807
22,6.73,resample_edge,0,0.1891
23,8.4,upload_cloud,0,0.8078
24,6.34,resample_edge,0,0.2058
25,7.1,upload_cloud,0,0.8192
26,7.03,resample_edge,0,0.2037
27,7.37,upload_cloud,0,0.8071
28,7.01,resample_edge,0,0.1726
29,7.03,upload_cloud,0,0.821
30,7.35,resample_edge,0,0.2102
31,7.45,upload_cloud,0,0.82
32,6.01,resample_edge,0,0.1806
33,7.74,upload_cloud,0,0.8286
34,6.32,resample_edge,0,0.1886
35,7.17,upload_cloud,0,0.8171
36,6.35,resample_edge,0,0.1805
37,8.01,upload_cloud,0,0.8092
38,6.9,resample_edge,0,0.1877
39,7.7,upload_cloud,0,0.8012
40,7.28,resample_edge,0,0.1876
41,8.11,upload_cloud,0,0.808
42,6.92,resample_edge,0,0.1883
43,7.76,upload_cloud,0,0.8177
44,7.05,resample_edge,0,0.2039
45,7.04,upload_cloud,0,0.815
46,6.97,resample_edge,0,0.1947
47,7.38,upload_cloud,0,0.793
48,7.44,resample_edge,0,0.1797
49,7.61,upload_cloud,0,0.8189
50,7.15,resample_edge,0,0.1903
