cloud_rtt_ms,packet_loss,baseline,seed,n,m1_p50_ms,m1_p95_ms,m2_valid_rate,m3_retry_rate
50.0,0.0,B2,0,40,68.33,219.34,0.625,0.4
50.0,0.0,B2d,0,40,67.19,215.8,0.625,0.4
50.0,0.05,B2,0,40,68.33,219.34,0.625,0.4
50.0,0.05,B2d,0,40,67.7,212.8,0.6,0.425
50.0,0.1,B2,0,40,68.33,219.34,0.625,0.4
50.0,0.1,B2d,0,40,67.44,223.7,0.55,0.475
50.0,0.2,B2,0,40,68.33,219.34,0.625,0.4
50.0,0.2,B2d,0,40,137.05,224.74,0.5,0.525
150.0,0.0,B2,0,40,167.94,219.34,0.625,0.4
150.0,0.0,B2d,0,40,167.11,217.93,0.625,0.4
150.0,0.05,B2,0,40,167.94,219.34,0.625,0.4
150.0,0.05,B2d,0,40,167.11,217.93,0.6,0.425
150.0,0.1,B2,0,40,167.94,219.34,0.625,0.4
150.0,0.1,B2d,0,40,167.28,223.7,0.55,0.475
150.0,0.2,B2,0,40,167.94,219.34,0.625,0.4
150.0,0.2,B2d,0,40,167.8,224.74,0.5,0.525
300.0,0.0,B2,0,40,313.66,319.16,0.625,0.4
300.0,0.0,B2d,0,40,314.17,318.96,0.625,0.4
300.0,0.05,B2,0,40,313.66,319.16,0.625,0.4
300.0,0.05,B2d,0,40,314.3,318.54,0.6,0.425
300.0,0.1,B2,0,40,313.66,319.16,0.625,0.4
300.0,0.1,B2d,0,40,312.68,317.43,0.55,0.475
300.0,0.2,B2,0,40,313.66,319.16,0.625,0.4
300.0,0.2,B2d,0,40,277.76,318.19,0.5,0.525
500.0,0.0,B2,0,40,513.66,519.16,0.625,0.4
500.0,0.0,B2d,0,40,514.17,518.97,0.625,0.4
500.0,0.05,B2,0,40,513.66,519.16,0.625,0.4
500.0,0.05,B2d,0,40,514.3,518.54,0.6,0.425
500.0,0.1,B2,0,40,513.66,519.16,0.625,0.4
500.0,0.1,B2d,0,40,512.68,517.43,0.55,0.475
500.0,0.2,B2,0,40,513.66,519.16,0.625,0.4
500.0,0.2,B2d,0,40,377.76,518.19,0.5,0.525
