reviewer_id,review_item_id,factually_supported,needs_human_review,fhir_acceptable,overall_score
R1_synthetic,review_b0_001,True,False,True,4
R2_synthetic,review_b0_001,True,False,True,4
R1_synthetic,review_b0_002,False,False,True,2
R2_synthetic,review_b0_002,False,True,True,2
R1_synthetic,review_b0_003,True,False,True,4
R2_synthetic,review_b0_003,True,False,True,4
R1_synthetic,review_b0_004,False,True,True,2
R2_synthetic,review_b0_004,False,True,True,2
R1_synthetic,review_b0_005,False,True,True,2
R2_synthetic,review_b0_005,False,True,True,2
R1_synthetic,review_b0_006,False,False,False,2
R2_synthetic,review_b0_006,False,False,False,2
R1_synthetic,review_b0_007,False,True,True,2
R2_synthetic,review_b0_007,False,True,True,2
R1_synthetic,review_b0_008,False,False,False,2
R2_synthetic,review_b0_008,False,True,False,2
R1_synthetic,review_b1_001,True,False,True,4
R2_synthetic,review_b1_001,True,False,True,4
R1_synthetic,review_b1_002,False,True,False,2
R2_synthetic,review_b1_002,False,True,False,2
R1_synthetic,review_b1_003,True,False,True,4
R2_synthetic,review_b1_003,True,False,True,4
R1_synthetic,review_b1_004,False,True,True,2
R2_synthetic,review_b1_004,False,True,True,2
R1_synthetic,review_b1_005,False,True,False,2
R2_synthetic,review_b1_005,False,True,False,2
R1_synthetic,review_b1_006,False,False,False,2
R2_synthetic,review_b1_006,False,False,False,2
R1_synthetic,review_b1_007,False,True,True,2
R2_synthetic,review_b1_007,False,True,True,2
R1_synthetic,review_b1_008,False,True,False,2
R2_synthetic,review_b1_008,False,True,False,2
R1_synthetic,review_b2_001,True,False,True,4
R2_synthetic,review_b2_001,True,False,True,4
R1_synthetic,review_b2_002,True,True,False,2
R2_synthetic,review_b2_002,True,True,False,2
R1_synthetic,review_b2_003,True,False,True,4
R2_synthetic,review_b2_003,True,False,True,4
R1_synthetic,review_b2_004,True,True,False,2
R2_synthetic,review_b2_004,True,True,False,2
R1_synthetic,review_b2_005,False,True,False,2
R2_synthetic,review_b2_005,False,True,False,2
R1_synthetic,review_b2_006,False,False,False,2
R2_synthetic,review_b2_006,False,False,False,2
R1_synthetic,review_b2_007,True,True,False,2
R2_synthetic,review_b2_007,True,True,False,2
R1_synthetic,review_b2_008,True,True,False,2
R2_synthetic,review_b2_008,True,True,False,2
R1_synthetic,review_b3_001,True,False,True,4
R2_synthetic,review_b3_001,True,False,True,4
R1_synthetic,review_b3_002,False,True,True,2
R2_synthetic,review_b3_002,False,True,True,2
R1_synthetic,review_b3_003,True,False,True,4
R2_synthetic,review_b3_003,True,False,True,4
R1_synthetic,review_b3_004,True,True,False,2
R2_synthetic,review_b3_004,True,True,False,2
R1_synthetic,review_b3_005,False,True,False,2
R2_synthetic,review_b3_005,False,True,False,2
R1_synthetic,review_b3_006,False,False,False,2
R2_synthetic,review_b3_006,False,False,False,2
R1_synthetic,review_b3_007,True,True,False,2
R2_synthetic,review_b3_007,True,True,False,2
R1_synthetic,review_b3_008,False,True,False,2
R2_synthetic,review_b3_008,False,True,False,2
R1_synthetic,review_b4_001,True,False,True,4
R2_synthetic,review_b4_001,True,False,True,4
R1_synthetic,review_b4_002,False,True,True,2
R2_synthetic,review_b4_002,False,True,True,2
R1_synthetic,review_b4_003,True,False,True,4
R2_synthetic,review_b4_003,True,False,True,4
R1_synthetic,review_b4_004,True,True,False,2
R2_synthetic,review_b4_004,True,True,False,2
R1_synthetic,review_b4_005,True,True,False,2
R2_synthetic,review_b4_005,True,True,False,2
R1_synthetic,review_b4_006,True,False,True,4
R2_synthetic,review_b4_006,True,False,True,4
R1_synthetic,review_b4_007,True,True,False,2
R2_synthetic,review_b4_007,True,True,False,2
R1_synthetic,review_b4_008,False,True,True,2
R2_synthetic,review_b4_008,False,True,True,2
