baseline,trial_id,case_id,latency_ms,tool_calls
B0,b0_0000,case_clear_fever,0.122,0
B0,b0_0001,case_blur_fever,0.153,0
B0,b0_0002,case_cold_pale,0.06,0
B0,b0_0003,case_cold_yellow_conflict,0.05,0
B0,b0_0004,case_missing_text,0.044,0
B0,b0_0005,case_mouth_bitter,0.044,0
B0,b0_0006,case_mouth_bitter_white_conflict,0.043,0
B0,b0_0007,case_occluded_cold,0.046,0
B0,b0_0008,case_clear_fever,0.041,0
B0,b0_0009,case_blur_fever,0.042,0
B0,b0_0010,case_cold_pale,0.042,0
B0,b0_0011,case_cold_yellow_conflict,0.043,0
B0,b0_0012,case_missing_text,0.038,0
B0,b0_0013,case_mouth_bitter,0.04,0
B0,b0_0014,case_mouth_bitter_white_conflict,0.042,0
B0,b0_0015,case_occluded_cold,0.042,0
B0,b0_0016,case_clear_fever,0.042,0
B0,b0_0017,case_blur_fever,0.053,0
B0,b0_0018,case_cold_pale,0.052,0
B0,b0_0019,case_cold_yellow_conflict,0.042,0
B0,b0_0020,case_missing_text,0.041,0
B0,b0_0021,case_mouth_bitter,0.04,0
B0,b0_0022,case_mouth_bitter_white_conflict,0.106,0
B0,b0_0023,case_occluded_cold,0.047,0
B1,b1_0000,case_clear_fever,0.041,0
B1,b1_0001,case_blur_fever,0.037,0
B1,b1_0002,case_cold_pale,0.045,0
B1,b1_0003,case_cold_yellow_conflict,0.04,0
B1,b1_0004,case_missing_text,0.037,1
B1,b1_0005,case_mouth_bitter,0.039,0
B1,b1_0006,case_mouth_bitter_white_conflict,0.041,0
B1,b1_0007,case_occluded_cold,0.042,0
B1,b1_0008,case_clear_fever,0.044,0
B1,b1_0009,case_blur_fever,0.036,0
B1,b1_0010,case_cold_pale,0.042,0
B1,b1_0011,case_cold_yellow_conflict,0.043,0
B1,b1_0012,case_missing_text,0.042,1
B1,b1_0013,case_mouth_bitter,0.042,0
B1,b1_0014,case_mouth_bitter_white_conflict,0.041,0
B1,b1_0015,case_occluded_cold,0.033,0
B1,b1_0016,case_clear_fever,0.078,0
B1,b1_0017,case_blur_fever,0.054,0
B1,b1_0018,case_cold_pale,0.043,0
B1,b1_0019,case_cold_yellow_conflict,0.044,0
B1,b1_0020,case_missing_text,0.039,1
B1,b1_0021,case_mouth_bitter,0.046,0
B1,b1_0022,case_mouth_bitter_white_conflict,0.059,0
B1,b1_0023,case_occluded_cold,0.041,0
B2,b2_0000,case_clear_fever,0.11,0
B2,b2_0001,case_blur_fever,0.042,0
B2,b2_0002,case_cold_pale,0.056,0
B2,b2_0003,case_cold_yellow_conflict,0.049,1
B2,b2_0004,case_missing_text,0.036,1
B2,b2_0005,case_mouth_bitter,0.058,0
B2,b2_0006,case_mouth_bitter_white_conflict,0.039,1
B2,b2_0007,case_occluded_cold,0.035,0
B2,b2_0008,case_clear_fever,0.04,0
B2,b2_0009,case_blur_fever,0.035,0
B2,b2_0010,case_cold_pale,0.043,0
