trial_id,case_id,conflict_label,attention_score,predicted_conflict,gamma_conflict,support_attention,contradiction_attention,low_quality_attention,missing_entity_attention,conflict_type
gat_0000,case_clear_fever,False,0.0241,False,0.8512,-7.7959,6.1827,14.9607,2.5777,none
gat_0001,case_blur_fever,True,0.9741,True,0.7336,-7.7959,6.1827,14.9607,2.5777,vision_low_quality
gat_0002,case_cold_pale,False,0.0797,False,0.8344,-7.7959,6.1827,14.9607,2.5777,none
gat_0003,case_cold_yellow_conflict,True,0.9876,True,0.3188,-7.7959,6.1827,14.9607,2.5777,text_vision_contradiction
gat_0004,case_missing_text,True,0.9985,True,0.3108,-7.7959,6.1827,14.9607,2.5777,text_missing_entity
gat_0005,case_mouth_bitter,False,0.0334,False,0.8296,-7.7959,6.1827,14.9607,2.5777,none
gat_0006,case_mouth_bitter_white_conflict,True,0.972,True,0.348,-7.7959,6.1827,14.9607,2.5777,text_vision_contradiction
gat_0007,case_occluded_cold,True,0.9357,True,0.7504,-7.7959,6.1827,14.9607,2.5777,vision_low_quality
gat_0008,case_clear_fever,False,0.0241,False,0.8512,-7.7959,6.1827,14.9607,2.5777,none
gat_0009,case_blur_fever,True,0.9741,True,0.7336,-7.7959,6.1827,14.9607,2.5777,vision_low_quality
gat_0010,case_cold_pale,False,0.0797,False,0.8344,-7.7959,6.1827,14.9607,2.5777,none
gat_0011,case_cold_yellow_conflict,True,0.9876,True,0.3188,-7.7959,6.1827,14.9607,2.5777,text_vision_contradiction
gat_0012,case_missing_text,True,0.9985,True,0.3108,-7.7959,6.1827,14.9607,2.5777,text_missing_entity
gat_0013,case_mouth_bitter,False,0.0334,False,0.8296,-7.7959,6.1827,14.9607,2.5777,none
gat_0014,case_mouth_bitter_white_conflict,True,0.972,True,0.348,-7.7959,6.1827,14.9607,2.5777,text_vision_contradiction
gat_0015,case_occluded_cold,True,0.9357,True,0.7504,-7.7959,6.1827,14.9607,2.5777,vision_low_quality
gat_0016,case_clear_fever,False,0.0241,False,0.8512,-7.7959,6.1827,14.9607,2.5777,none
gat_0017,case_blur_fever,True,0.9741,True,0.7336,-7.7959,6.1827,14.9607,2.5777,vision_low_quality
gat_0018,case_cold_pale,False,0.0797,False,0.8344,-7.7959,6.1827,14.9607,2.5777,none
gat_0019,case_cold_yellow_conflict,True,0.9876,True,0.3188,-7.7959,6.1827,14.9607,2.5777,text_vision_contradiction
gat_0020,case_missing_text,True,0.9985,True,0.3108,-7.7959,6.1827,14.9607,2.5777,text_missing_entity
gat_0021,case_mouth_bitter,False,0.0334,False,0.8296,-7.7959,6.1827,14.9607,2.5777,none
gat_0022,case_mouth_bitter_white_conflict,True,0.972,True,0.348,-7.7959,6.1827,14.9607,2.5777,text_vision_contradiction
gat_0023,case_occluded_cold,True,0.9357,True,0.7504,-7.7959,6.1827,14.9607,2.5777,vision_low_quality
