trial_id,case_id,conflict_label,propagation_score,gamma_conflict,predicted_conflict,conflict_type
kgprop_0000,case_clear_fever,False,0.8,0.8512,False,none
kgprop_0001,case_blur_fever,True,0.8,0.7336,True,vision_low_quality
kgprop_0002,case_cold_pale,False,0.4875,0.8344,False,none
kgprop_0003,case_cold_yellow_conflict,True,-0.37,0.3188,True,text_vision_contradiction
kgprop_0004,case_missing_text,True,0.0,0.3108,True,text_missing_entity
kgprop_0005,case_mouth_bitter,False,0.72,0.8296,False,none
kgprop_0006,case_mouth_bitter_white_conflict,True,-0.26,0.348,True,text_vision_contradiction
kgprop_0007,case_occluded_cold,True,0.67,0.7504,True,vision_low_quality
kgprop_0008,case_clear_fever,False,0.8,0.8512,False,none
kgprop_0009,case_blur_fever,True,0.8,0.7336,True,vision_low_quality
kgprop_0010,case_cold_pale,False,0.4875,0.8344,False,none
kgprop_0011,case_cold_yellow_conflict,True,-0.37,0.3188,True,text_vision_contradiction
kgprop_0012,case_missing_text,True,0.0,0.3108,True,text_missing_entity
kgprop_0013,case_mouth_bitter,False,0.72,0.8296,False,none
kgprop_0014,case_mouth_bitter_white_conflict,True,-0.26,0.348,True,text_vision_contradiction
kgprop_0015,case_occluded_cold,True,0.67,0.7504,True,vision_low_quality
kgprop_0016,case_clear_fever,False,0.8,0.8512,False,none
kgprop_0017,case_blur_fever,True,0.8,0.7336,True,vision_low_quality
kgprop_0018,case_cold_pale,False,0.4875,0.8344,False,none
kgprop_0019,case_cold_yellow_conflict,True,-0.37,0.3188,True,text_vision_contradiction
kgprop_0020,case_missing_text,True,0.0,0.3108,True,text_missing_entity
kgprop_0021,case_mouth_bitter,False,0.72,0.8296,False,none
kgprop_0022,case_mouth_bitter_white_conflict,True,-0.26,0.348,True,text_vision_contradiction
kgprop_0023,case_occluded_cold,True,0.67,0.7504,True,vision_low_quality
